QUERY: berapa biaya TI gelombang 1A
   5. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | COST     | comp=1.510
   6. rincian Biaya DNUI Tahun Ajaran 2026-2027.pdf           | BIAYA     | COST     | comp=1.509
   7. rincian Biaya UTB Tahun Ajaran 2026-2027.pdf            | BIAYA     | COST     | comp=1.508
   8. rincian Biaya DNUI Tahun Ajaran 2026-2027.pdf           | BIAYA     | COST     | comp=1.508
   9. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | COST     | comp=1.507
  10. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | COST     | comp=1.507

QUERY: berapa biaya UTB
   1. rincian Biaya UTB Tahun Ajaran 2026-2027.pdf            | BIAYA     | COST     | comp=1.916
   2. rincian Biaya SK Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.485
   3. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.473
   4. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.470
   5. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.469
   6. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.469
   7. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.468
   8. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.466
   9. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.461
  10. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.456
